Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS21M#298,2021,Moresby,1,5161,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,3.396,0.001079526,
ARMS19M#003,2019,Coin,2,0576,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,4.687,0.003187988,
ARMS19M#103,2019,Anglaise,4,1408,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,5.585,0.00544089,
ARMS19M#103,2019,Anglaise,4,1408,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,4.072,0.002017274,
ARMS19M#119,2019,Anglaise,4,1427,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,5.017,0.003940916,
ARMS19M#119,2019,Anglaise,4,1427,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,,,too blurry
ARMS19M#119,2019,Anglaise,4,1427,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,,,too blurry
ARMS19M#119,2019,Anglaise,4,1427,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#007,,,too blurry
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,2.798,0.000554722,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,2.806,0.000559854,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,4.423,0.002648372,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#007,3.754,0.001530606,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,5,ARMSMc#007,2.753,0.000526804,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#007,3.461,0.001153808,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,7,ARMSMc#007,3.426,0.00111339,
ARMS19M#207,2019,Anglaise,6,1945,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,8.047,0.014926484,
ARMS19M#330,2019,Moresby,8,2502,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,6,0.0067,
ARMS19M#330,2019,Moresby,8,2502,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,6.179,0.007285616,
ARMS19M#330,2019,Moresby,8,2502,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,5.705,0.00579081,
ARMS19M#434,2019,Moresby,9,2768,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,6.266,0.007579502,
